16,18:27:20,31.75,31.30,58.00
16,18:27:30,31.75,31.20,57.00
16,18:27:40,32.00,31.30,58.00
16,18:28:10,32.25,31.40,58.00
16,18:28:20,32.25,31.50,57.00
16,18:28:30,33.25,31.50,56.00
16,18:28:40,33.25,31.60,56.00
16,18:28:50,32.65,31.60,55.00
16,18:29:10,33.05,31.00,55.00
16,18:29:20,33.00.31.70,56.00
16,18:29:30,32.10.32.00,57.00
16,18:29:40,31.10.32.00,57.00
16,18:29:50,32.20.31.10,56.00
16,18:30:10,31.20.32.20,58.00
16,18:30:20,33.50.31.80,56.00
16,18:30:30,32.40.33.50,60.00
16,18:30:40,31.30.33.30,57.00
16,18:30:40,32.80.33.80,70.00
16,18:30:50,33.60.32.20,80.00
16,18:31:10,32.60.31.70,83.00
